ИНН,Сокращенное наименование,Полное наименование,В реестре,Статус проверки,Найденное название,ОГРН,Выручка,Налоги,Сотрудники,Применяет УСН,Ошибка
3906216773,"ООО""АЙГРИНД""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙГРИНД""",Нет,Компания не входит в реестр аккредитованных ИТ-компаний,"ООО""АЙГРИНД""",,172325000,26571660,57,Нет,
3904054929,"ООО ""Х.К.""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХИРОКРАФТ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""Х.К.""",,165727000,23665300,99,Нет,
3906378816,"ООО ""НЕОЛАНТ КАЛИНИНГРАД""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕОЛАНТ КАЛИНИНГРАД""",Нет,Компания не входит в реестр аккредитованных ИТ-компаний,"ООО ""НЕОЛАНТ КАЛИНИНГРАД""",,66602000,23028146,85,Нет,
3907026976,"ООО ""БИТРИКС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИТРИКС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""БИТРИКС""",,Нет данных,17697675,Нет данных,Нет данных,
3906404216,"ООО ""АЙТИМУС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙТИМУС""",Нет,Компания не входит в реестр аккредитованных ИТ-компаний,"ООО ""АЙТИМУС""",,155521000,17294965,16,Нет,
3906113376,"ООО ""ТМЫВ ДЕНЕГ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТ-ТРЕЙД""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ТМЫВ ДЕНЕГ""",,592565000,15102604,9,Нет,
3906198612,"ООО ""М2М ГРУП""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""М2М ГРУП""",Нет,Компания не входит в реестр аккредитованных ИТ-компаний,"ООО ""М2М ГРУП""",,203109000,13625698,56,Нет,
3906148636,"ООО ""РМГ ""ЗАПАДНАЯ ПРЕССА""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКАЯ МЕДИАГРУППА ""ЗАПАДНАЯ ПРЕССА""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""РМГ ""ЗАПАДНАЯ ПРЕССА""",,112006000,11210036,39,Да,
3906368952,"ООО ""УЦ САБИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УДОСТОВЕРЯЮЩИЙ ЦЕНТР САБИ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""УЦ САБИ""",,261787000,11155467,77,Нет,
3905017052,"ООО  ""БАЛТИК СТАЙЛ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЛТИК СТАЙЛ""",Нет,Компания не входит в реестр аккредитованных ИТ-компаний,"ООО  ""БАЛТИК СТАЙЛ""",,33512000,10980773,9,Нет,
3906394529,"ООО ""КЁНИГ ШПИЛЬ ПОРТАЛ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЁНИГ ШПИЛЬ ПОРТАЛ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""КЁНИГ ШПИЛЬ ПОРТАЛ""",,158185000,10647885,37,Нет,
3904015599,"ООО ""ИНОК-ПЛЮС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНОК-ПЛЮС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ИНОК-ПЛЮС""",,90715000,9887202,37,Нет,
3906900937,"ООО  ""НЕОЛАНТ ТЕНАКС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕОЛАНТ ТЕНАКС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО  ""НЕОЛАНТ ТЕНАКС""",,503297000,9305329,61,Нет,
3906952332,"ООО  ""ЦЕНТР ЗАЩИТЫ ИНФОРМАЦИИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ЗАЩИТЫ ИНФОРМАЦИИ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО  ""ЦЕНТР ЗАЩИТЫ ИНФОРМАЦИИ""",,399520000,7930082,9,Да,
3906370038,"ООО ""СОФТЭКС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОФТЭКС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""СОФТЭКС""",,22342582000,7331131,82,Нет,
2222836248,"ООО ""КРЕОНИТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРЕОНИТ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""КРЕОНИТ""",,54324000,7284654,27,Да,
3906372405,"ООО ""СИСТЕХ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИСТЕХ""",Нет,Компания не входит в реестр аккредитованных ИТ-компаний,"ООО ""СИСТЕХ""",,35032000,6136914,17,Нет,
3906218604,"ООО ""Е-ТИКЕТС СЕРВИС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Е-ТИКЕТС СЕРВИС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""Е-ТИКЕТС СЕРВИС""",,321978000,5697288,12,Да,
3906400490,"ООО ""РИТЕЙЛ-ПРОЦЕССИНГ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РИТЕЙЛ-ПРОЦЕССИНГ""",Нет,Компания не входит в реестр аккредитованных ИТ-компаний,"ООО ""РИТЕЙЛ-ПРОЦЕССИНГ""",,167705000,5538392,17,Да,
3906255187,"ООО ""АЙТИ СПЕЙШЛ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙТИ СПЕЙШЛ""",Нет,Компания не входит в реестр аккредитованных ИТ-компаний,"ООО ""АЙТИ СПЕЙШЛ""",,142220000,5310285,43,Да,
3906954940,"ООО ""КЁНИГ ЛАБС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЁНИГ ЛАБС""",Нет,Компания не входит в реестр аккредитованных ИТ-компаний,"ООО ""КЁНИГ ЛАБС""",,113029000,5221056,27,Нет,
3906370567,"ООО ""ТОРТУ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРТУ""",Нет,Компания не входит в реестр аккредитованных ИТ-компаний,"ООО ""ТОРТУ""",,213727000,4786235,55,Да,
9703039008,"ООО ""РИС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РИС""",Нет,Компания не входит в реестр аккредитованных ИТ-компаний,"ООО ""РИС""",,71975000,4310151,17,Нет,
